,hopper,ant,anymal,humanoid,humanoidsnu
0,4658.209641253911,4466.570102383716,8962.616830835728,6083.4054493009635,1880.3706554230967
1,3593.6878771681104,5270.066919764996,12313.450489683592,6984.186897159885,3368.7948764122225
2,3712.0980953168364,5294.4334621946655,12782.783548062358,8321.767196250436,2431.4008128043088
3,4693.054266536302,5229.323743041385,6105.035528292285,5850.641064003466,1979.866540681471
4,3829.1440655923852,6490.369046268762,12279.014998410861,8027.9310901118915,4724.289256852215
5,3871.022518111746,5443.070327893701,8474.804430887143,8462.452603101588,4484.4544529421355
6,4042.712668873283,5148.900845077851,9306.95379882465,7193.0996329150075,2886.6362304821487
7,3761.829984844224,6703.052951015217,11836.956198237687,7650.390137994313,2951.1819951912776
8,4377.727280052931,4382.984423685145,9939.523154893583,8252.833020791673,3770.872423773475
9,4046.978371928872,6602.023657153759,8010.014421145151,9792.9195214187,3699.2539795634434
